STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT10
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,5/12/15,8.5,,0.02,,,,74,68,50,50,16.1,21.9,1,,,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,5/13/15,7.83,,0.61,,,,72,66,180,180,23,32,1,,1,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,5/14/15,6.71,,0.01,,,,87,67,130,120,29.1,36.9,1,,1,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,5/15/15,4.92,,1.56,,,,79,67,110,110,16.1,19,1,,1,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,5/16/15,11.41,,0,,,,86,68,130,140,21.9,28,1,,,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,5/17/15,8.28,,1.27,,,,82,68,300,320,21,30,1,,1,,,,,1,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,5/18/15,7.61,,0.01,,,,89,75,110,110,17,21.9,1,,,,,,,1,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,5/19/15,11.18,,0,,,,88,73,140,140,19.9,25.9,1,,,,,,,1,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,5/20/15,8.5,,0,,,,91,74,110,,15,,1,,,,,,,1,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,5/21/15,11.18,,0.38,,,,77,66,50,40,19.9,29.1,1,,1,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,5/22/15,9.62,,0.02,,,,86,64,130,120,21.9,27.1,1,,1,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,5/23/15,9.4,,4.42,,,,87,65,130,160,25.1,38.9,1,,1,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,5/24/15,8.05,,0.1,,,,85,66,130,330,21,28,1,,1,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,5/25/15,10.29,,0.01,,,,88,71,180,180,21.9,31.1,,,1,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,5/26/15,8.5,,0,,,,90,71,140,140,17,23.9,,,,,,,,,
